neighbourhood_group,neighbourhood
Ward 4,"Brightwood Park, Crestwood, Petworth"
Ward 5,"Brookland, Brentwood, Langdon"
Ward 6,"Capitol Hill, Lincoln Park"
Ward 7,"Capitol View, Marshall Heights, Benning Heights"
Ward 3,"Cathedral Heights, McLean Gardens, Glover Park"
Ward 3,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace"
Ward 4,"Colonial Village, Shepherd Park, North Portal Estates"
Ward 1 ,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View"
Ward 8,"Congress Heights, Bellevue, Washington Highlands"
Ward 7,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights"
Ward 8,"Douglas, Shipley Terrace"
Ward 2,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street"
Ward 2,"Dupont Circle, Connecticut Avenue/K Street"
Ward 7,"Eastland Gardens, Kenilworth"
Ward 5,"Edgewood, Bloomingdale, Truxton Circle, Eckington"
Ward 7,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park"
Ward 3,"Friendship Heights, American University Park, Tenleytown"
Ward 2,"Georgetown, Burleith/Hillandale"
Ward 4,"Hawthorne, Barnaby Woods, Chevy Chase"
Ward 8,Historic Anacostia
Ward 1 ,"Howard University, Le Droit Park, Cardozo/Shaw"
Ward 5,"Ivy City, Arboretum, Trinidad, Carver Langston"
Ward 1 ,"Kalorama Heights, Adams Morgan, Lanier Heights"
Ward 5,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill"
Ward 7,"Mayfair, Hillbrook, Mahaning Heights"
Ward 6,"Near Southeast, Navy Yard"
Ward 3,"North Cleveland Park, Forest Hills, Van Ness"
Ward 5,"North Michigan Park, Michigan Park, University Heights"
Ward 7,"River Terrace, Benning, Greenway, Dupont Park"
Ward 2,"Shaw, Logan Circle"
Ward 8,"Sheridan, Barry Farm, Buena Vista"
Ward 6,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point"
Ward 3,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir"
Ward 4,"Takoma, Brightwood, Manor Park"
Ward 7,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont"
Ward 6,"Union Station, Stanton Park, Kingman Park"
Ward 2,"West End, Foggy Bottom, GWU"
Ward 8,"Woodland/Fort Stanton, Garfield Heights, Knox Hill"
Ward 5,"Woodridge, Fort Lincoln, Gateway"
